Sensors in this area:
Sensor1 (lat:44, long:-0.3) ()
Sensor2 (lat:44, long:0.4) ()
Sensor11 (lat:44.4, long:-0.3) ()
Sensor12 (lat:44.4, long:0.4) ()
Sensor66 (lat:46.4, long:3.2) ()
Sensor76 (lat:46.8, long:3.2) ()
Sensor77 (lat:46.8, long:3.9) ()
Sensor86 (lat:47.2, long:3.2) ()
Sensor87 (lat:47.2, long:3.9) ()
Sensor96 (lat:47.6, long:3.2) ()
Sensor97 (lat:47.6, long:3.9) ()
Measures for this area: 
2019-01-01 12:00:00 Sensor1 O3 64.92
2019-01-01 12:00:00 Sensor1 NO2 60.96
2019-01-01 12:00:00 Sensor1 SO2 37.42
2019-01-01 12:00:00 Sensor1 PM10 49.75
2019-01-02 12:00:00 Sensor1 O3 41.21
2019-01-02 12:00:00 Sensor1 NO2 53.08
2019-01-02 12:00:00 Sensor1 SO2 36.25
2019-01-02 12:00:00 Sensor1 PM10 42.46
2019-01-03 12:00:00 Sensor1 O3 61.79
2019-01-03 12:00:00 Sensor1 NO2 60.67
2019-01-03 12:00:00 Sensor1 SO2 23.08
2019-01-03 12:00:00 Sensor1 PM10 48.92
2019-01-04 12:00:00 Sensor1 O3 47.92
2019-01-04 12:00:00 Sensor1 NO2 45.92
2019-01-04 12:00:00 Sensor1 SO2 61.96
2019-01-04 12:00:00 Sensor1 PM10 49.17
2019-01-05 12:00:00 Sensor1 O3 49.92
2019-01-05 12:00:00 Sensor1 NO2 56.75
2019-01-05 12:00:00 Sensor1 SO2 53.54
2019-01-05 12:00:00 Sensor1 PM10 57.33
2019-01-06 12:00:00 Sensor1 O3 48.88
2019-01-06 12:00:00 Sensor1 NO2 47.33
2019-01-06 12:00:00 Sensor1 SO2 43.29
2019-01-06 12:00:00 Sensor1 PM10 50.08
2019-01-07 12:00:00 Sensor1 O3 41.08
2019-01-07 12:00:00 Sensor1 NO2 31.83
2019-01-07 12:00:00 Sensor1 SO2 46.67
2019-01-07 12:00:00 Sensor1 PM10 70.46
2019-01-08 12:00:00 Sensor1 O3 50.71
2019-01-08 12:00:00 Sensor1 NO2 26.71
2019-01-08 12:00:00 Sensor1 SO2 17.29
2019-01-08 12:00:00 Sensor1 PM10 41.88
2019-01-09 12:00:00 Sensor1 O3 55.67
2019-01-09 12:00:00 Sensor1 NO2 45.62
2019-01-09 12:00:00 Sensor1 SO2 46.75
2019-01-09 12:00:00 Sensor1 PM10 43.17
2019-01-10 12:00:00 Sensor1 O3 57.92
2019-01-10 12:00:00 Sensor1 NO2 42.83
2019-01-10 12:00:00 Sensor1 SO2 27.71
